	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
213	1970-01-01 00:00:00.000000213					
214	1970-01-01 00:00:00.000000214					
215	1970-01-01 00:00:00.000000215	0.06952669	0.06952755	0.009656484	2.683714e-15	6.148621295811646e-29
216	1970-01-01 00:00:00.000000216					
217	1970-01-01 00:00:00.000000217					
218	1970-01-01 00:00:00.000000218					
219	1970-01-01 00:00:00.000000219					
220	1970-01-01 00:00:00.000000220					
221	1970-01-01 00:00:00.000000221					
222	1970-01-01 00:00:00.000000222					
223	1970-01-01 00:00:00.000000223					
224	1970-01-01 00:00:00.000000224					
225	1970-01-01 00:00:00.000000225	0.07284567	0.07284656	0.01011745	3.245674e-15	8.993217036077421e-29
226	1970-01-01 00:00:00.000000226					
227	1970-01-01 00:00:00.000000227					
228	1970-01-01 00:00:00.000000228					
229	1970-01-01 00:00:00.000000229					
230	1970-01-01 00:00:00.000000230					
231	1970-01-01 00:00:00.000000231					
232	1970-01-01 00:00:00.000000232					
233	1970-01-01 00:00:00.000000233					
234	1970-01-01 00:00:00.000000234					
235	1970-01-01 00:00:00.000000235	0.07616466	0.07616558	0.01057842	4.150104e-15	1.4703585173073623e-28
236	1970-01-01 00:00:00.000000236					
237	1970-01-01 00:00:00.000000237					
238	1970-01-01 00:00:00.000000238					
239	1970-01-01 00:00:00.000000239					
240	1970-01-01 00:00:00.000000240					
241	1970-01-01 00:00:00.000000241					
242	1970-01-01 00:00:00.000000242					
243	1970-01-01 00:00:00.000000243					
244	1970-01-01 00:00:00.000000244					
245	1970-01-01 00:00:00.000000245					
246	1970-01-01 00:00:00.000000246	0.07948364	0.0794846	0.01103939	5.988931e-15	3.0619909334081064e-28
247	1970-01-01 00:00:00.000000247					
248	1970-01-01 00:00:00.000000248					
249	1970-01-01 00:00:00.000000249					
250	1970-01-01 00:00:00.000000250					
251	1970-01-01 00:00:00.000000251					
252	1970-01-01 00:00:00.000000252					
253	1970-01-01 00:00:00.000000253					
254	1970-01-01 00:00:00.000000254					
