	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
414	1970-01-01 00:00:00.000000414	0.11518682023485363	0.2901884919400953	-46.1792350871341	0.015998169445541183	2.398229914412389e-09	7.575768798807064e-13
415	1970-01-01 00:00:00.000000415	0.11548880113142158	0.29069835512707254	-46.25547192681435	0.016040111219081273	2.2462861098973907e-09	7.562628258113434e-13
416	1970-01-01 00:00:00.000000416	0.11579088607216809	0.29119791633117215	-46.33256585559591	0.016082067480226756	2.286441772978716e-09	7.542411286107697e-13
417	1970-01-01 00:00:00.000000417	0.11609418047118644	0.2916987992542373	-46.40723100372881	0.016124191685762713	2.3336360620816948e-09	7.516437032382089e-13
418	1970-01-01 00:00:00.000000418	0.11639716775832289	0.2921925477799979	-46.482235337149056	0.016166273263115115	2.4471196939015138e-09	7.495275412160467e-13
419	1970-01-01 00:00:00.000000419	0.11669918611317945	0.2927077597678197	-46.55867816489542	0.016208220255872197	2.132552989015095e-09	7.481321159248715e-13
420	1970-01-01 00:00:00.000000420	0.11700219300422654	0.2931992828131868	-46.63514018596788	0.01625030457920541	2.5239798741413354e-09	7.464763441844979e-13
421	1970-01-01 00:00:00.000000421	0.11730490958186977	0.29370086360443126	-46.711647568224805	0.01629234852067009	2.312058213182586e-09	7.439204906789217e-13
422	1970-01-01 00:00:00.000000422	0.11760799874519329	0.29419888607569317	-46.78756012413142	0.01633444421304729	2.001259913901032e-09	7.423384436312873e-13
423	1970-01-01 00:00:00.000000423	0.11791131988012661	0.2946916113980739	-46.86347783689138	0.01637657216142501	2.382697956013334e-09	7.401498457926645e-13
424	1970-01-01 00:00:00.000000424	0.11821531731474935	0.2951810435477898	-46.93830218631115	0.016418794026865975	2.53686194631182e-09	7.387180749300009e-13
425	1970-01-01 00:00:00.000000425	0.11851791733418454	0.29568867119817216	-47.01475446172972	0.016460821810362205	2.0839780738864994e-09	7.366032028428024e-13
426	1970-01-01 00:00:00.000000426	0.11882161460432622	0.29617375952908775	-47.09147148763939	0.016503002003560394	2.371644790357282e-09	7.353647338865107e-13
427	1970-01-01 00:00:00.000000427	0.11912557894383906	0.29666758007711647	-47.16677299681476	0.01654521926303437	2.0009626848338644e-09	7.3310309393574e-13
428	1970-01-01 00:00:00.000000428	0.1194296034563601	0.2971601221615648	-47.24210836057338	0.01658744488813718	2.1865550660680554e-09	7.314250785766436e-13
429	1970-01-01 00:00:00.000000429	0.1197329384012854	0.29764727348865233	-47.319041940483366	0.016629574757314053	2.588780582543014e-09	7.296865641622397e-13
430	1970-01-01 00:00:00.000000430	0.12003772355635804	0.2981327353729896	-47.39400420369813	0.01667190601263918	2.431250202637844e-09	7.283126307057635e-13
431	1970-01-01 00:00:00.000000431	0.1203413429378531	0.2986330875238191	-47.470120973489784	0.016714075385618293	2.188605028790292e-09	7.268891873856177e-13
432	1970-01-01 00:00:00.000000432	0.12064482921239617	0.29912300639490275	-47.54828469159689	0.016756226228441806	2.078090880757581e-09	7.243085254780746e-13
433	1970-01-01 00:00:00.000000433	0.12095008743753748	0.2996038039642881	-47.62345140015991	0.016798623209740824	2.0152674136951168e-09	7.225586089812398e-13
434	1970-01-01 00:00:00.000000434	0.12125442939100324	0.30008938624846004	-47.698836138580894	0.016840892951087136	2.504480087358905e-09	7.209539229267983e-13
435	1970-01-01 00:00:00.000000435	0.12155876859927485	0.3005769056714233	-47.77524765858364	0.01688316228120946	2.0768468168899645e-09	7.194088119770676e-13
436	1970-01-01 00:00:00.000000436	0.12186354602504901	0.3010576971927843	-47.851193636424036	0.016925492463705526	2.419488630429554e-09	7.181888200730925e-13
437	1970-01-01 00:00:00.000000437	0.12216851681383614	0.3015426710031868	-47.92680747311114	0.016967849518324262	2.069682614516996e-09	7.157642677223682e-13
438	1970-01-01 00:00:00.000000438	0.12247375158069332	0.30202163008459115	-48.00201776248134	0.017010243226073977	2.1378003768187095e-09	7.141589544258327e-13
439	1970-01-01 00:00:00.000000439	0.12277831124511299	0.30251066500231927	-48.0785096090385	0.017052543191306075	2.114054560595057e-09	7.130143061764137e-13
440	1970-01-01 00:00:00.000000440	0.12308292200926846	0.30299088155577625	-48.15612768090037	0.017094850261502814	2.1233518375008277e-09	7.113738730283405e-13
441	1970-01-01 00:00:00.000000441	0.1233888147560492	0.303465500023139	-48.231542422649746	0.01713733533617612	2.3873670533680417e-09	7.098363543393553e-13
442	1970-01-01 00:00:00.000000442	0.1236935644675582	0.30395539506026087	-48.30812415717352	0.017179661681690606	1.825550147942876e-09	7.08041251566578e-13
443	1970-01-01 00:00:00.000000443	0.12399863702603703	0.3044321294657295	-48.385276593406594	0.017222032888162885	2.087320131166551e-09	7.068303347731576e-13
444	1970-01-01 00:00:00.000000444	0.1243049884456898	0.30490180110763143	-48.46026109708257	0.01726458168485248	2.226942249742212e-09	7.050547812606967e-13
