	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
651	1970-01-01 00:00:00.651	0.08948409771004272	1.214265322574083	71.91762461856649	0.012428346925476369	8.015558008835018e-06	7.082626009535346e-07
652	1970-01-01 00:00:00.652	0.09009331749289484	1.2122228522804168	72.36783144809853	0.01251296071863581	8.046297672032413e-06	6.438194263571087e-07
653	1970-01-01 00:00:00.653	0.09069876336109982	1.2102419842882297	72.81371973384803	0.012597050447650006	8.125990556228226e-06	6.044947014934161e-07
654	1970-01-01 00:00:00.654	0.09130031957784715	1.208275737070721	73.25485878783766	0.012680599949776028	7.883563956543232e-06	5.992446751900638e-07
655	1970-01-01 00:00:00.655	0.09189837174138166	1.2063455079711134	73.69192911363946	0.012763662723123041	8.022597242458782e-06	6.152330374416494e-07
656	1970-01-01 00:00:00.656	0.0924921841700239	1.2044510830317514	74.12457982792762	0.012846136701263229	8.073851648414817e-06	6.220295838091309e-07
657	1970-01-01 00:00:00.657	0.09308261502061856	1.2025838303092784	74.5537778281787	0.012928141006872852	8.20948975837251e-06	5.399868304938253e-07
658	1970-01-01 00:00:00.658	0.09367000345793103	1.200748044137931	74.97948291172413	0.013009722694482757	8.226829763821792e-06	5.133280722932395e-07
659	1970-01-01 00:00:00.659	0.09425481258252427	1.198922004368932	75.40205989736478	0.013090946187239943	8.165587754509708e-06	4.997215821826185e-07
660	1970-01-01 00:00:00.660	0.0948347627578304	1.1971363859990278	75.81992950343773	0.013171494830891034	8.085205998209806e-06	5.063241386382633e-07
661	1970-01-01 00:00:00.661	0.0954113991588264	1.1953923260157502	76.23413708829884	0.013251583169558854	7.889930229265455e-06	5.010413811533692e-07
662	1970-01-01 00:00:00.662	0.09598548578341984	1.1936628077570486	76.6456112435124	0.013331317470192172	8.140348955136064e-06	4.7363701553131806e-07
663	1970-01-01 00:00:00.663	0.09655492836149478	1.1919705070462034	77.05273866016968	0.013410406706863913	8.185990200160555e-06	4.915528677237443e-07
664	1970-01-01 00:00:00.664	0.09712161735312787	1.1902961365399536	77.4570258100007	0.0134891135235207	8.364333555743e-06	4.637313802093168e-07
665	1970-01-01 00:00:00.665	0.09768561458920105	1.1886506777298138	77.85852142381997	0.013567446480786923	8.395601182669308e-06	4.599218789221461e-07
666	1970-01-01 00:00:00.666	0.09824659285908344	1.187025833488239	78.25705790090798	0.013645360092943449	8.726959627523415e-06	4.136033057391106e-07
667	1970-01-01 00:00:00.667	0.0988039809737935	1.185427439424316	78.65207005226979	0.013722775138192754	8.539823621853787e-06	4.094060392117313e-07
668	1970-01-01 00:00:00.668	0.09935833080850147	1.1838732453507574	79.04417878509369	0.013799768201335536	8.583859592205788e-06	4.0259119634156726e-07
669	1970-01-01 00:00:00.669	0.0999090312259789	1.1823217131917352	79.43297927611617	0.013876254361363964	8.543875949170641e-06	3.8741906229638715e-07
670	1970-01-01 00:00:00.670	0.10045711818710898	1.1808141768514477	79.81929237669141	0.013952377512730976	9.016152495910666e-06	3.579916507363069e-07
671	1970-01-01 00:00:00.671	0.10100270219122051	1.1793074673873347	80.20339247680958	0.014028153107150682	9.45665465924768e-06	3.504678211598358e-07
672	1970-01-01 00:00:00.672	0.10154501907408761	1.1778437116945806	80.58420805894828	0.014103474830688219	8.87432743728699e-06	3.4721492456015926e-07
673	1970-01-01 00:00:00.673	0.10208429945938048	1.176400395675044	80.96217466320866	0.014178374991233197	9.184981576424314e-06	3.650749545406491e-07
674	1970-01-01 00:00:00.674	0.10262127541116006	1.1749712082232011	81.33834385682819	0.014252954964023495	9.162144680181424e-06	3.453882496762125e-07
675	1970-01-01 00:00:00.675	0.10315480552941177	1.173588809117647	81.71156992352941	0.014327056377941176	9.584215509409368e-06	3.3462006329500525e-07
